vma,size,isa,evidence,name
0x08015268,0x13A,thumb,rom-pointer,sub_08015268
0x080153A2,0x5E,thumb,bl-target,sub_080153a2
0x08015400,0x124,thumb,rom-pointer,sub_08015400
0x08015524,0x15C,thumb,rom-pointer,sub_08015524
0x08015680,0x84,thumb,rom-pointer,sub_08015680
0x08015704,0x54,thumb,rom-pointer,sub_08015704
0x08015758,0x7C0,thumb,rom-pointer,sub_08015758
0x08015F18,0x164,thumb,rom-pointer,sub_08015f18
0x0801607C,0x1DE,thumb,rom-pointer,sub_0801607c
0x0801625A,0x46,thumb,bl-target,sub_0801625a
0x080162A0,0x274,thumb,rom-pointer,sub_080162a0
0x08016514,0x2C8,thumb,rom-pointer,sub_08016514
0x080167DC,0x2E8,thumb,rom-pointer,sub_080167dc
0x08016AC4,0x310,thumb,rom-pointer,sub_08016ac4
0x08016DD4,0x310,thumb,rom-pointer,sub_08016dd4
0x080170E4,0x310,thumb,rom-pointer,sub_080170e4
0x080173F4,0x188,thumb,rom-pointer,sub_080173f4
0x0801757C,0xA0,thumb,rom-pointer,sub_0801757c
0x0801761C,0x4C,thumb,rom-pointer,sub_0801761c
0x08017668,0xDFC,thumb,rom-pointer,sub_08017668
0x08018464,0x34,thumb,rom-pointer,sub_08018464
0x08018498,0x6EC,thumb,rom-pointer,sub_08018498
0x08018B84,0x34,thumb,rom-pointer,sub_08018b84
0x08018BB8,0x1C4,thumb,rom-pointer,sub_08018bb8
0x08018D7C,0x98,thumb,rom-pointer,sub_08018d7c
0x08018E14,0x1EC,thumb,rom-pointer,sub_08018e14
0x08019000,0x590,thumb,rom-pointer,sub_08019000
0x08019590,0x5C,thumb,rom-pointer,sub_08019590
0x080195EC,0x544,thumb,rom-pointer,sub_080195ec
0x08019B30,0x114,thumb,rom-pointer,sub_08019b30
0x08019C44,0xEC,thumb,rom-pointer,sub_08019c44
0x08019D30,0x118,thumb,rom-pointer,sub_08019d30
0x08019E48,0x84,thumb,rom-pointer,sub_08019e48
0x08019ECC,0x20,thumb,rom-pointer,sub_08019ecc
0x08019EEC,0x190,thumb,rom-pointer,sub_08019eec
0x0801A07C,0x170,thumb,rom-pointer,sub_0801a07c
0x0801A1EC,0x124,thumb,rom-pointer,sub_0801a1ec
0x0801A310,0xD4,thumb,rom-pointer,sub_0801a310
0x0801A3E4,0x36,thumb,rom-pointer,sub_0801a3e4
0x0801A41A,0x39A,thumb,bl-target,sub_0801a41a
0x0801A7B4,0x74,thumb,bl-target,sub_0801a7b4
0x0801A828,0xA0,thumb,bl-target,sub_0801a828
0x0801A8C8,0x64C,thumb,bl-target,sub_0801a8c8
0x0801AF14,0x338,thumb,bl-target,sub_0801af14
0x0801B24C,0x590,thumb,bl-target,sub_0801b24c
0x0801B7DC,0x108,thumb,bl-target,sub_0801b7dc
0x0801B8E4,0x100,thumb,bl-target,sub_0801b8e4
0x0801B9E4,0xC0,thumb,bl-target,sub_0801b9e4
0x0801BAA4,0x208,thumb,bl-target,sub_0801baa4
0x0801BCAC,0x134,thumb,bl-target,sub_0801bcac
0x0801BDE0,0x13C,thumb,bl-target,sub_0801bde0
